id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
24139,Club,Finances,Tax - Nl Employee,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x3C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Nl Employee,
12598,Club,Finances,Tax - Nl Employer,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x40 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Nl Employer,
24143,Club,Finances,Tax - Pension Employee,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x44 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Pension Employee,
24140,Club,Finances,Tax - Pension Employer,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x48 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Pension Employer,
24142,Club,Finances,Tax - Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x4C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Transfer Tax,
24141,Club,Finances,Tax - Internal Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x50 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Internal Transfer Tax,
24082,Club,Finances,Tax - External Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x54 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - External Transfer Tax,
24138,Club,Finances,Tax - Ticket Entertainment Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x60 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Ticket Entertainment Tax,
11848,Club,Finances,Tax - Other,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x64 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Other,
24137,Club,Finances,Tax - Brazilian Ticket Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x68 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Brazilian Ticket Tax,
